,SystemName,SchoolName,Cluster,Street,City,Zip_Code,SingleScore,Latitude,Longitude
0,Bartow County,White Elementary School,E,505 Colonel Way,White,30184,88.9,34.27773565,-84.7631406766655
1,Carroll County,Whitesburg Elementary School,E,868 Main Street,Whitesburg,30185,92.2,33.498383213308784,-84.9173464876649
2,Cherokee County,Creekview High School,H,1550 Owens Store Road,Canton,30115,87.8,34.23540375,-84.33652400363108
3,Cherokee County,Avery Elementary School,E,6391 East Cherokee Drive,Canton,30115,85.2,34.2152701,-84.39477711485176
4,Cherokee County,Bascomb Elementary School,E,1335 Wyngate Parkway,Woodstock,30189,90.8,34.14233106122449,-84.58588032653061
5,Cherokee County,R.M. Moore Elementary School STEM Academy,E,1375 Puckett Road,Waleska,30183,89.2,34.33753247540895,-84.52993394693868
6,Cobb County,Clarkdale Elementary School,E,4725 Ewing Road,Austell,30106,76.4,33.84215245,-84.63268820231416
7,Cobb County,Walton High School,H,1590 Bill Murdock Road,Marietta,30062,96.3,33.989809050000005,-84.44004004531917
8,Cobb County,Garrison Mill Elementary School,E,4111 Wesley Chapel Road,Marietta,30062,91.9,34.05001095,-84.43499375923182
9,Cobb County,Harrison High School,H,4500 Due West Road,Kennesaw,30152,94.0,33.96717165,-84.68323968812057
10,Cobb County,Kemp Elementary School,E,865 Corner Road,Powder Springs,30127,93.5,33.9297296,-84.7021067970174
12,Cobb County,Dodgen Middle School,M,1725 Bill Murdock Road,Marietta,30062,91.8,33.99156175,-84.4450728597395
13,Cobb County,Mount Bethel Elementary School,E,1210 Johnson Ferry Road,Marietta,30068,95.6,33.9817499,-84.426708
14,Cobb County,Addison Elementary School,E,3055 Ebenezer Road,Marietta,30066,83.2,34.024076061224484,-84.48961952040816
15,Cobb County,Sprayberry High School,H,2525 Sandy Plains Road,Marietta,30066,83.9,34.0117433,-84.49817258357433
16,Cobb County,Murdock Elementary School,E,2320 Murdock Road,Marietta,30062,92.0,34.00671255,-84.46235727114095
17,Cobb County,Lassiter High School,H,2601 Shallowford Road,Marietta,30066,95.8,34.04382535,-84.47398560292345
