,SystemName,SchoolName,Cluster,Street,City,Zip_Code,Grade,SingleScore,Unnamed: 0,Latitude,Longitude,crime_count
7,Atlanta Public Schools,Brandon Elementary School,E,2741 Howell Mill Road NW,Atlanta,30327,A,96.5,102,33.838648,-84.422438,167.0
8,Atlanta Public Schools,Jackson Elementary School,E,1325 Mount Paran Road,Atlanta,30327,A,96.4,103,33.8635586,-84.43998979999998,92.0
9,Atlanta Public Schools,Mary Lin Elementary School,E,586 Candler Park Drive NE,Atlanta,30307,A,93.1,104,33.76952844524761,-84.33943998713966,1245.0
30,Fulton County,Hapeville Elementary School,E,3440 N Fulton Ave,Hapeville,30354,C,74.1,393,33.660355,-84.4076072,120.0
33,Fulton County,Hamilton E. Holmes Elementary School,E,2301 Connally Dr,East Point,30344,D,63.3,423,33.696071,-84.462994,360.0
34,Fulton County,Hapeville Charter Middle School,M,3535 South Fulton Avenue,Hapeville,30354,D,60.8,427,33.657435,-84.410198,43.0
35,Fulton County,Tri-Cities High School,H,2575 Harris St,East Point,30344,D,62.6,428,33.6848289,-84.43573549999998,26.0
36,Fulton County,Paul D. West Middle School,M,2376 Headland Dr,East Point,30344,F,55.4,431,33.690561100000004,-84.466435,387.0
38,Atlanta Public Schools,Brown Middle School,M,255 James P. Brawley Dr. SW,Atlanta,30314,D,64.3,574,33.749015216216215,-84.412894,2402.0
39,Atlanta Public Schools,Parkside Elementary School,E,685 Mercer St SE,Atlanta,30312,C,73.0,575,33.73500915,-84.36465517125134,999.0
40,Atlanta Public Schools,Heritage Academy,E,3500 Villa Cir SE,Atlanta,30354,D,60.4,576,33.65976887784481,-84.3790474805728,270.0
41,Atlanta Public Schools,Dobbs Elementary School ,E,2025 Jonesboro Rd SE,Atlanta,30315,D,67.9,577,33.69802215,-84.37211644928965,686.0
42,Atlanta Public Schools,Finch Elementary School,E,1114 Avon Ave SW,Atlanta,30310,D,62.8,578,33.72251385,-84.42442570566186,1324.0
43,Atlanta Public Schools,KIPP STRIVE Academy,EM,1444 Lucile Ave SW,Atlanta,30310,C,76.8,579,33.74254740816327,-84.43566981632655,1276.0
44,Atlanta Public Schools,Springdale Park Elementary School,E,1246 Ponce de Leon Ave NE,Atlanta,30306,A,92.4,580,33.775131900000005,-84.34654093458957,1395.0
45,Atlanta Public Schools,KIPP Vision Academy,EM,660 McWilliams Rd SE,Atlanta,30315,D,65.9,581,33.6887236,-84.3619469,345.0
