,ZipCode,NumReturns,Total_Income ($1k)
2,0,4480760,307047771
3,0,1731290,22560293
4,0,1069360,38969819
5,0,581580,36120555
6,0,360950,31575063
7,0,531950,73457177
8,0,205630,104364864
10,30002,3120,303899
11,30002,850,11734
12,30002,630,22849
13,30002,390,24283
14,30002,300,26436
15,30002,610,86289
16,30002,340,132308
18,30004,28890,4394460
19,30004,7110,76794
20,30004,4010,151941
21,30004,3160,201083
22,30004,2610,229355
23,30004,6260,903486
24,30004,5740,2831801
26,30005,16350,2246560
27,30005,3950,38956
28,30005,1990,75680
29,30005,1650,105672
30,30005,1540,136042
31,30005,4190,611546
32,30005,3030,1278664
34,30008,13000,516194
35,30008,6120,82034
36,30008,3530,127701
37,30008,1600,99347
38,30008,840,73071
39,30008,830,110136
40,30008,80,23905
42,30009,8900,1138063
43,30009,2300,26614
44,30009,1430,54363
45,30009,1080,68441
46,30009,920,81291
47,30009,1850,265586
48,30009,1320,641768
50,30011,7650,402216
51,30011,2750,34991
52,30011,2040,75059
53,30011,1200,74552
54,30011,710,61427
55,30011,800,105782
56,30011,150,50405
58,30012,11640,486715
59,30012,5370,72426
60,30012,3280,117810
61,30012,1480,90988
62,30012,710,62251
63,30012,670,89469
64,30012,130,53771
66,30013,12890,602418
67,30013,5400,72808
68,30013,3440,124771
69,30013,1780,109648
70,30013,990,85442
71,30013,1080,143748
72,30013,200,66001
74,30014,15410,797393
75,30014,6430,84627
76,30014,3830,139261
77,30014,1990,122828
78,30014,1220,106196
79,30014,1570,210380
80,30014,370,134101
82,30016,24520,996118
83,30016,10570,142137
84,30016,7030,255840
85,30016,3530,216877
86,30016,1830,158627
87,30016,1440,183847
88,30016,120,38790
90,30017,11030,771644
91,30017,3480,42538
92,30017,2320,86675
93,30017,1640,103098
94,30017,1120,98490
95,30017,1970,269194
96,30017,500,171649
98,30019,21430,1609343
99,30019,6690,78813
100,30019,4130,153497
101,30019,2900,182139
102,30019,2400,210846
103,30019,4200,583091
104,30019,1110,400957
106,30021,10830,312759
107,30021,5980,86760
108,30021,3630,123337
109,30021,720,43642
110,30021,250,22023
111,30021,220,28947
112,30021,30,8050
114,30022,29950,4334833
115,30022,7910,87140
116,30022,4560,172870
117,30022,3370,212401
118,30022,2460,217764
119,30022,6350,922390
120,30022,5300,2722268
122,30024,35280,3905991
123,30024,9900,109429
124,30024,5370,201553
125,30024,3940,249061
126,30024,3230,285694
127,30024,8270,1184416
128,30024,4570,1875838
130,30025,4290,271968
131,30025,1540,19438
132,30025,950,35233
133,30025,630,39115
134,30025,410,36537
135,30025,600,81997
136,30025,160,59648
138,30028,12140,989902
139,30028,3420,40095
140,30028,2190,80831
141,30028,1680,105895
142,30028,1470,130083
143,30028,2690,369308
144,30028,690,263690
146,30030,13440,1752728
147,30030,3160,37684
148,30030,1960,74098
149,30030,1610,101714
150,30030,1230,108681
151,30030,3020,436594
152,30030,2460,993957
154,30032,20220,690018
155,30032,10790,148165
156,30032,5480,195758
157,30032,2070,127058
158,30032,930,80324
159,30032,860,113138
160,30032,90,25575
162,30033,14530,1381205
163,30033,3480,43760
164,30033,2790,105160
165,30033,2240,140864
166,30033,1570,138663
167,30033,3070,432791
168,30033,1380,519967
170,30034,21280,794378
171,30034,10230,140610
172,30034,5960,214096
173,30034,2740,167553
174,30034,1160,100714
175,30034,1070,138264
176,30034,120,33141
178,30035,10100,330000
179,30035,5270,71847
180,30035,2990,106216
181,30035,1090,66218
182,30035,440,38026
183,30035,290,37610
184,30035,20,10083
186,30038,18750,777027
187,30038,8460,114106
188,30038,5220,188784
189,30038,2500,153922
190,30038,1190,103054
191,30038,1190,157285
192,30038,190,59876
194,30039,22470,1060739
195,30039,8900,118130
196,30039,6130,226189
197,30039,3280,202555
198,30039,1850,160813
199,30039,2040,271741
200,30039,270,81311
202,30040,32230,3130772
203,30040,8500,97255
204,30040,5190,193324
205,30040,3810,239277
206,30040,3400,301323
207,30040,8140,1153489
208,30040,3190,1146104
210,30041,29950,3469807
211,30041,7810,85210
212,30041,4210,157091
213,30041,3140,197581
214,30041,2760,244320
215,30041,7870,1138464
216,30041,4160,1647141
218,30043,39690,2438100
219,30043,14570,182187
220,30043,9400,347779
221,30043,5470,339979
222,30043,3590,314606
223,30043,5360,729554
224,30043,1300,523995
226,30044,40520,1801380
227,30044,17920,237648
228,30044,11160,406742
229,30044,5090,313882
230,30044,2570,223418
231,30044,3160,427974
232,30044,620,191716
234,30045,18170,971373
235,30045,6640,86013
236,30045,4640,171196
237,30045,2760,171619
238,30045,1700,148110
239,30045,2070,275205
240,30045,360,119230
242,30046,17730,711804
243,30046,8410,112479
244,30046,5100,183435
245,30046,2120,130451
246,30046,990,86441
247,30046,970,126893
248,30046,140,72105
250,30047,29250,1826293
251,30047,11110,140682
252,30047,6540,241103
253,30047,3760,234344
254,30047,2540,223056
255,30047,4150,572526
256,30047,1150,414582
258,30052,31600,1799357
259,30052,11000,140210
260,30052,7450,277114
261,30052,4940,307739
262,30052,3310,289352
263,30052,4270,564279
264,30052,630,220663
266,30054,5230,310660
267,30054,1970,24825
268,30054,1220,44422
269,30054,740,45535
270,30054,450,39265
271,30054,690,92826
272,30054,160,63787
274,30055,1420,95859
275,30055,460,5615
276,30055,320,11985
277,30055,220,13276
278,30055,170,14528
279,30055,200,27399
280,30055,50,23056
282,30056,1110,64866
283,30056,440,5816
284,30056,260,9401
285,30056,160,9713
286,30056,90,8058
287,30056,130,17010
288,30056,30,14868
290,30058,26080,925705
291,30058,12810,173111
292,30058,7530,271143
293,30058,3250,198746
294,30058,1310,113062
295,30058,1080,138977
296,30058,100,30666
298,30060,15680,758191
299,30060,7780,103211
300,30060,4180,150136
301,30060,1620,99555
302,30060,780,67888
303,30060,930,125528
304,30060,390,211873
306,30062,30350,3323783
307,30062,8440,97392
308,30062,5040,189609
309,30062,3480,219518
310,30062,2800,248004
311,30062,6730,964815
312,30062,3860,1604445
314,30064,22870,2472251
315,30064,6600,78842
316,30064,3960,146839
317,30064,2890,182799
318,30064,2200,193913
319,30064,4910,692372
320,30064,2310,1177486
322,30066,27650,2349346
323,30066,8520,100955
324,30066,5250,196556
325,30066,3660,230036
326,30066,2730,240093
327,30066,5360,753700
328,30066,2130,828006
330,30067,21780,3547371
331,30067,8200,103836
332,30067,5190,190491
333,30067,2660,165183
334,30067,1500,131508
335,30067,2340,331027
336,30067,1890,2625326
338,30068,15740,2405027
339,30068,3770,41563
340,30068,2100,79444
341,30068,1550,97856
342,30068,1370,121416
343,30068,3650,532370
344,30068,3300,1532378
346,30071,10850,519688
347,30071,5380,72403
348,30071,2850,102522
349,30071,1120,68353
350,30071,530,45689
351,30071,680,93055
352,30071,290,137666
354,30075,25700,3784245
355,30075,6300,69092
356,30075,3370,126917
357,30075,2590,163344
358,30075,2090,185751
359,30075,6280,922328
360,30075,5070,2316813
362,30076,20610,2008123
363,30076,6220,77831
364,30076,4010,149669
365,30076,2390,149539
366,30076,1800,158423
367,30076,4050,579066
368,30076,2140,893595
370,30078,17040,1109614
371,30078,6180,77536
372,30078,4010,148470
373,30078,2390,149352
374,30078,1470,128741
375,30078,2230,306979
376,30078,760,298536
378,30079,1520,61628
379,30079,750,10061
380,30079,390,14220
381,30079,170,10695
382,30079,80,7020
383,30079,130,19632
384,30079,0,0
386,30080,25670,2116224
387,30080,7430,100345
388,30080,6030,225819
389,30080,3790,237044
390,30080,2550,219547
391,30080,3810,538026
392,30080,2060,795443
394,30082,13090,1139745
395,30082,3550,46244
396,30082,2530,95051
397,30082,1850,116443
398,30082,1390,121672
399,30082,2680,376383
400,30082,1090,383952
402,30083,25170,822480
403,30083,13570,187623
404,30083,7160,253445
405,30083,2410,146602
406,30083,1070,92642
407,30083,860,110694
408,30083,100,31474
410,30084,18460,1082198
411,30084,6870,89306
412,30084,4440,163367
413,30084,2560,158875
414,30084,1660,145333
415,30084,2300,313388
416,30084,630,211929
418,30087,18370,1222199
419,30087,6470,82116
420,30087,4240,156373
421,30087,2570,160207
422,30087,1710,149921
423,30087,2580,354482
424,30087,800,319100
426,30088,12480,436549
427,30088,6340,86144
428,30088,3560,127768
429,30088,1360,83072
430,30088,590,50821
431,30088,580,75513
432,30088,50,13231
434,30092,16830,1498771
435,30092,5630,71175
436,30092,4060,149325
437,30092,1890,117145
438,30092,1160,101672
439,30092,2520,361662
440,30092,1570,697792
442,30093,22090,660573
443,30093,12300,163856
444,30093,6580,234955
445,30093,2010,121401
446,30093,680,58097
447,30093,460,59117
448,30093,60,23147
450,30094,14670,816375
451,30094,5420,69748
452,30094,3610,132474
453,30094,2190,135807
454,30094,1350,117505
455,30094,1790,241134
456,30094,310,119707
458,30096,32530,1859710
459,30096,13210,172336
460,30096,8830,323756
461,30096,4140,255326
462,30096,2300,200548
463,30096,3050,415677
464,30096,1000,492067
466,30097,21600,3572578
467,30097,5950,66892
468,30097,3360,125884
469,30097,2450,153955
470,30097,1780,158524
471,30097,4300,621247
472,30097,3760,2446076
474,30101,27760,2273762
475,30101,8830,105337
476,30101,5180,192507
477,30101,3610,225939
478,30101,2830,249516
479,30101,5350,747001
480,30101,1960,753462
482,30102,19360,1093883
483,30102,7110,90326
484,30102,4490,165953
485,30102,2750,171354
486,30102,1870,164245
487,30102,2690,361499
488,30102,450,140506
490,30103,6070,317685
491,30103,2200,27464
492,30103,1610,59028
493,30103,930,58094
494,30103,610,53576
495,30103,620,82441
496,30103,100,37082
498,30104,1930,85852
499,30104,780,10096
500,30104,530,19143
501,30104,290,17962
502,30104,160,14019
503,30104,170,24632
504,30104,0,0
506,30105,1130,67579
507,30105,410,5233
508,30105,260,9508
509,30105,190,11445
510,30105,110,9409
511,30105,130,17030
512,30105,30,14954
514,30106,10210,415495
515,30106,4470,60166
516,30106,2970,108471
517,30106,1420,87126
518,30106,680,59327
519,30106,610,78650
520,30106,60,21755
